produto;preco
Notebook;3700.00
Notebook;4500.00
Notebook;5800.00
Notebook;3200.00
Notebook;4900.00
Mouse;140.00
Mouse;90.00
Mouse;320.00
Mouse;75.00
Mouse;190.00
Teclado;280.00
Teclado;170.00
Teclado;220.00
Teclado;450.00
Monitor;950.00
Monitor;1300.00
Monitor;850.00
Monitor;1600.00
Headset;320.00
Headset;195.00
Headset;150.00
Headset;600.00
Celular;2300.00
Celular;1900.00
Celular;4800.00
Celular;1600.00
Celular;2900.00
Carregador;85.00
Carregador;65.00
Carregador;120.00
Carregador;150.00
HD Externo;420.00
HD Externo;460.00
HD Externo;390.00
Caixa de Som;380.00
Caixa de Som;130.00
Caixa de Som;250.00
Webcam;220.00
Webcam;480.00
Webcam;180.00
