id;produto;preco;marca;modelo;quantidade
1;Notebook;3700.00;Dell;Inspiron 15;12
2;Notebook;4500.00;Lenovo;ThinkPad E14;8
3;Notebook;5800.00;Apple;MacBook Air M1;5
4;Notebook;3200.00;Acer;Aspire 5;15
5;Notebook;4900.00;Asus;Vivobook 16;7
6;Mouse;140.00;Logitech;G203 Prodigy;45
7;Mouse;90.00;Redragon;Cobra M711;60
8;Mouse;320.00;Razer;DeathAdder V2;20
9;Mouse;75.00;Multilaser;Classic Box;100
10;Mouse;190.00;Corsair;Harpoon Pro;25
11;Teclado;280.00;Razer;Cynosa V2;18
12;Teclado;170.00;Logitech;K120;35
13;Teclado;220.00;Redragon;Kumara K552;40
14;Teclado;450.00;Corsair;K55 RGB;12
15;Monitor;950.00;LG;24MK430H;22
16;Monitor;1300.00;Samsung;"T350 27""";15
17;Monitor;850.00;AOC;24B1XHS;30
18;Monitor;1600.00;Dell;P2422H;10
19;Headset;320.00;HyperX;Cloud Stinger 2;28
20;Headset;195.00;JBL;Quantum 100;40
21;Headset;150.00;Redragon;Scylla H901;50
22;Headset;600.00;SteelSeries;Arctis Nova 1;8
23;Celular;2300.00;Samsung;Galaxy A55;14
24;Celular;1900.00;Motorola;Moto G84;20
25;Celular;4800.00;Apple;iPhone 13;9
26;Celular;1600.00;Xiaomi;Redmi Note 13;35
27;Celular;2900.00;Realme;12 Pro Plus;15
28;Carregador;85.00;Anker;PowerPort 20W;80
29;Carregador;65.00;Baseus;Super Si 20W;95
30;Carregador;120.00;Samsung;Super Fast 25W;40
31;Carregador;150.00;Apple;USB-C 20W;30
32;HD Externo;420.00;Seagate;Expansion 1TB;25
33;HD Externo;460.00;WD Elements;Portable 1TB;20
34;HD Externo;390.00;Toshiba;Canvio Basics;15
35;Caixa de Som;380.00;JBL;Go 4;30
36;Caixa de Som;130.00;Xiaomi;Pocket Speaker;45
37;Caixa de Som;250.00;Edifier;X100B;18
38;Webcam;220.00;Redragon;Fobos GW600;35
39;Webcam;480.00;Logitech;C920s Pro;22
40;Webcam;180.00;Intelbras;CAM-720p;40
